TestName,CheckPoint,Expected,Actual,Result
"Login Page UI Elements Test","Image Logo visibility","true","true","Pass"
"Login Page UI Elements Test","Heading Login visibility","true","true","Pass"
"Login Page UI Elements Test","Heading Login text","Login Form","Logout Form","Fail"
"Login Page UI Elements Test","Label Username visibility","true","true","Pass"
"Login Page UI Elements Test","Label Password visibility","true","true","Pass"
"Login Page UI Elements Test","Label Username Text","Username","Username","Pass"
"Login Page UI Elements Test","Label Password Text","Password","Pwd","Fail"
"Login Page UI Elements Test","Textbox Username visibility","true","true","Pass"
"Login Page UI Elements Test","Textbox Username placeholder text","Enter your username","John Smith","Fail"
"Login Page UI Elements Test","Textbox Password visibility","true","true","Pass"
"Login Page UI Elements Test","Textbox Password placeholder text","Enter your password","ABC$*1@","Fail"
"Login Page UI Elements Test","Image Username visibility","true","false","Fail"
"Login Page UI Elements Test","Image Password visibility","true","false","Fail"
"Login Page UI Elements Test","Button Login visibility","true","true","Pass"
"Login Page UI Elements Test","Checkbox RememberMe visibility","true","true","Pass"
"Login Page UI Elements Test","Checkbox RememberMe alignment","","margin-right: 50px;","Fail"
"Login Page UI Elements Test","Image Twitter visibility","true","true","Pass"
"Login Page UI Elements Test","Image Facebook visibility","true","true","Pass"
"Login Page UI Elements Test","Image Linkedin visibility","true","false","Fail"
"Data-Driven Test","Iteration#1 - Check if alert is shown for invalid login","true","true","Pass"
"Data-Driven Test","Iteration#1 - Check alert message text for invalid login","Both Username and Password must be present","Please enter both username and password","Fail"
"Data-Driven Test","Iteration#1 - Check alert message alignment is proper for invalid login","display: block;","display: block;","Pass"
"Data-Driven Test","Iteration#2 - Check if alert is shown for invalid login","true","false","Fail"
"Data-Driven Test","Iteration#3 - Check if alert is shown for invalid login","true","true","Pass"
"Data-Driven Test","Iteration#3 - Check alert message text for invalid login","Username must be present","Username must be present","Pass"
"Data-Driven Test","Iteration#3 - Check alert message alignment is proper for invalid login","display: block;","display: block; z-index: 0; width: 150px; height: 49px;","Fail"
"Data-Driven Test","Iteration#4 - Check Login button visibility after valid login","false","false","Pass"
"Table Sort Test","check STATUS for row#1 after sorting","Pending","Complete","Fail"
"Table Sort Test","check DATE for row#1 after sorting","Yesterday7:45am","Jan 7th9:51am","Fail"
"Table Sort Test","check DESCRIPTION for row#1 after sorting","MailChimp Services","Ebay Marketplace","Fail"
"Table Sort Test","check CATEGORY for row#1 after sorting","Software","Ecommerce","Fail"
"Table Sort Test","check AMOUNT for row#1 after sorting","- 320.00 USD","- 244.00 USD","Fail"
"Table Sort Test","check STATUS for row#2 after sorting","Complete","Pending","Fail"
"Table Sort Test","check DATE for row#2 after sorting","Jan 7th9:51am","Yesterday7:45am","Fail"
"Table Sort Test","check DESCRIPTION for row#2 after sorting","Ebay Marketplace","MailChimp Services","Fail"
"Table Sort Test","check CATEGORY for row#2 after sorting","Ecommerce","Software","Fail"
"Table Sort Test","check AMOUNT for row#2 after sorting","- 244.00 USD","- 320.00 USD","Fail"
"Table Sort Test","check STATUS for row#3 after sorting","Pending","Complete","Fail"
"Table Sort Test","check DATE for row#3 after sorting","Jan 23rd2:7pm","Today1:52am","Fail"
"Table Sort Test","check DESCRIPTION for row#3 after sorting","Shopify product","Starbucks coffee","Fail"
"Table Sort Test","check CATEGORY for row#3 after sorting","Shopping","Restaurant / Cafe","Fail"
"Table Sort Test","check AMOUNT for row#3 after sorting","+ 17.99 USD","+ 1,250.00 USD","Fail"
"Table Sort Test","check STATUS for row#4 after sorting","Pending","Pending","Pass"
"Table Sort Test","check DATE for row#4 after sorting","Jan 9th7:45pm","Jan 23rd2:7pm","Fail"
"Table Sort Test","check DESCRIPTION for row#4 after sorting","Templates Inc","Shopify product","Fail"
"Table Sort Test","check CATEGORY for row#4 after sorting","Business","Shopping","Fail"
"Table Sort Test","check AMOUNT for row#4 after sorting","+ 340.00 USD","+ 17.99 USD","Fail"
"Table Sort Test","check STATUS for row#5 after sorting","Declined","Pending","Fail"
"Table Sort Test","check DATE for row#5 after sorting","Jan 19th3:22pm","Jan 9th7:45pm","Fail"
"Table Sort Test","check DESCRIPTION for row#5 after sorting","Stripe Payment Processing","Templates Inc","Fail"
"Table Sort Test","check CATEGORY for row#5 after sorting","Finance","Business","Fail"
"Table Sort Test","check AMOUNT for row#5 after sorting","+ 952.23 USD","+ 340.00 USD","Fail"
"Table Sort Test","check STATUS for row#6 after sorting","Complete","Declined","Fail"
"Table Sort Test","check DATE for row#6 after sorting","Today1:52am","Jan 19th3:22pm","Fail"
"Table Sort Test","check DESCRIPTION for row#6 after sorting","Starbucks coffee","Stripe Payment Processing","Fail"
"Table Sort Test","check CATEGORY for row#6 after sorting","Restaurant / Cafe","Finance","Fail"
"Table Sort Test","check AMOUNT for row#6 after sorting","+ 1,250.00 USD","+ 952.23 USD","Fail"
"Canvas Chart Test","check default canvas image matches with baseline","true","false","Fail"
"Canvas Chart Test","check canvas with next year image matches with baseline","true","false","Fail"
"Dynamic Content Test","check Image Flash Ad #1 presence","true","false","Fail"
"Dynamic Content Test","check Image Flash Ad #2 presence","true","true","Pass"
